ROOF AGE,Permit Number,Permit Type,Description,Address,LAT,LON
27,98030407,Building/Accessories/Residential/Lanai,ALUMINUM ROOF OVER,"2100 KINGS HWY *HURON*, PORT CHARLOTTE",26.999233302768417,-82.05657329
27,98030442,Building/Trade Permits/Residential/Roofing,REPLACE ROOF  TEAR OFF & RE-SHINGLE  3/12,"521 SHARON CIR, PORT CHARLOTTE 33952",26.96981631732376,-82.08850853
27,98030429,Building/Accessories/Residential/Lanai,34X22 BUILD UP ROOF OVER,"1475 FLAMINGO DR, ENGLEWOOD",26.935655016174007,-82.31599614
27,98030328,Building/Trade Permits/Residential/Roofing,COMPLETE REROOF SHINGLE,"20241 MT PROSPECT AVE, PORT CHARLOTTE",27.01431853188201,-82.1158295
27,98030327,Building/Trade Permits/Residential/Roofing,REPAIR SHINGLE LEAK  (LESS THAN 1 SQ),"18295 VAN NUYS CIR, PORT CHARLOTTE FL 33948",26.95813936504686,-82.15003965
27,98030341,Building/Trade Permits/Residential/Roofing,RE-ROOF,"15900 PRAIRIE CRK BLVD, PORT CHARLOTTE",,
27,98030360,Building/Trade Permits/Residential/Roofing,REMOVE BUILT UP AND REPLACE WITH SHINGLE AND,"1878 CITRON ST, PORT CHARLOTTE FL 33980",26.968469618028287,-82.03909306
27,98030343,Building/Accessories/Residential/Lanai,ROOF-OVER JUST MOBILE HOME,"2100 KINGS HWY *MCKENZIE LN*, PORT CHARLOTTE",26.999233302768417,-82.05657329
27,98030367,Building/Trade Permits/Residential/Roofing,METAL ROOF OVER SHINGLES,"1770 EL JOBEAN RD, PORT CHARLOTTE 33948",27.004712269362933,-82.16906938
27,98030342,Building/Trade Permits/Residential/Roofing,ROOF OVER EXISTING SLAB,"158 BUCKEYE AVE, PORT CHARLOTTE",26.973073836969206,-82.10284423
27,98030346,Building/Accessories/Residential/Lanai,ALUM ROOF OVER,"1000 KINGS HWY (BIMINI), PORT CHARLOTTE",27.017786144343614,-82.04914863
27,98030333,Building/Accessories/Residential/Cage,SCREEN PATIO W'HIP ROOF,"9242 SWEDEN BLVD, PUNTA GORDA",26.89554221044988,-81.95896142
27,98030376,Building/Trade Permits/Residential/Roofing,RE-ROOF  6/12,"505 CANADA CT, PUNTA GORDA",26.897445566060394,-82.04879003
27,98030358,Building/Trade Permits/Residential/Roofing,REROOF-SHINGLES 5/12,"2066 ONONDAGA LANE, DEEP CREEK",27.000530143317324,-82.02135468
27,98030353,Building/Trade Permits/Residential/Roofing,SHINGLE OVER SHINGLE,"20368 TAPPANZEE DRIVE, PORT CHARLOTTE 33952",27.017284428308045,-82.11731719
27,98030345,Building/Accessories/Residential/Lanai,ALUM ROOF OVER MOBILE HME,"2100 KINGS HWY *SCOTIA*, PORT CHARLOTTE",26.999233302768417,-82.05657329
27,98030372,Building/Trade Permits/Residential/Roofing,RE-ROOF SINGLE PLY,"8442 TANAKA DRIVE, ENGLEWOOD",26.941368173180244,-82.30851744
27,98030357,Building/Trade Permits/Residential/Roofing,REMOVE EXISTING TILE ROOF INSTALL A 30# 90# DRYIN,"5265 PLACIDA RD, GROVE CITY",26.896202125242066,-82.30966944
27,98030344,Building/Accessories/Residential/Lanai,ALUM ROOF OVER MOBILE HME,"215 RIO VILLA DR(6 HAGUE), PUNTA GORDA",26.90335174995679,-82.04505238
27,98030323,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE OVER SHINGLE,"1505 BLUE HERON DR, ENGLEWOOD 34224",26.93838987608575,-82.31346901
27,98030321,Building/Trade Permits/Residential/Roofing,RE-ROOF - TEAR OFF AND RESHINGLE,"8449 JACAMAR DR, ENGLEWOOD 34224",26.938583399757306,-82.3084411
27,98030298,Building/Trade Permits/Residential/Roofing,REPAIR LESS THAN 1 SQ   TILE 3/12 SLOPE,"3411 MAGNOLIA WAY, PUNTA GORDA",26.907634782077217,-82.05086516
27,98030266,Building/Trade Permits/Residential/Roofing,REROOF SHINGLES,"1312 CORKTREE, PORT CHARLOTTE",27.01212874316919,-82.12441247
27,98030300,Building/Trade Permits/Residential/Roofing,REPLACE ROOF TILE TO SHINGLE 3.5/12 SLOPE,"4229 CONWAY BLVD, PORT CHARLOTTE 33952",26.96600905,-82.09143827
27,98030324,Building/Trade Permits/Residential/Roofing,RE-ROOF   TEAR OFF AND RESHINGLE,"12363 MINOT, PORT CHARLOTTE",26.983840973310876,-82.2443848
27,98030306,Building/Trade Permits/Residential/Mechanical,REPLACE ROOFING AIR CONDITIONING UNIT,"1951 MCCALL ROAD S, ENGLEWOOD",26.936496572946332,-82.3353572
27,98030325,Building/Trade Permits/Residential/Roofing,RE-ROOF TILE TO SHINGLE,"263 CADDY RD, ROTONDA",26.890626775583378,-82.29494472
27,98030287,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:5/12,"21295 BERKSHIRE AVE, PORT CHARLOTTE 33954",27.023153231169566,-82.09776306
27,98030265,Building/Trade Permits/Residential/Roofing,repair less than one square on flat roof,"1008 LOTUS STREET, PORT CHARLOTTE",27.017932783604717,-82.2009887
27,98030268,Building/Construction/Residential/Addition,SCREEN RM W'COMP PANEL ROOF 10X16,"11128 DEERWOOD AVE, ENGLEWOOD 34224",26.937604974681456,-82.26798254
27,98030197,Building/Trade Permits/Residential/Roofing,TEAR OFF EXISTING SHINGLE ROOF BACK W/ SHINGLES ORGINAL 3-5-98,"6014 GILLOT BLVD, PORT CHARLOTTE",26.947170248889204,-82.22190087
27,98030208,Building/Trade Permits/Residential/Roofing,RE-ROOF  4/12 & 3/12 SLOPE,"288 ANNAPOLIS LANE, ROTONDA",26.891237405154836,-82.29495244
27,98030230,Building/Accessories/Residential/Lanai,ALUMINUM ROOF OVER,"21039 KEELER AVE, PORT CHARLOTTE 33954",27.02327346,-82.10585023
27,98030259,Building/Trade Permits/Residential/Roofing,REROOF    ORIG PERMIT 3-5-98,"22408 LAIKA AVE, PORT CHARLOTTE",27.006244757631983,-82.07798001
27,98030212,Building/Trade Permits/Residential/Roofing,TAKE OFF SHINGLES & REPLACE NEW,"18267 HILLSBOROUGH BLVD, PORT CHARLOTTE 33952",27.03247262800999,-82.14784245
27,98030227,Building/Accessories/Residential/Lanai,ALUMINUM ROOF OVER   MOBILE HOME ONLY,"35711 WASHINGTON LOOP RD, RV-171, PUNTA GORDA FL 33982",26.972591356308257,-81.89349365
27,98030218,Building/Accessories/Residential/Lanai,INSTALL ROOF OVER MH ONLY,"1010 ELM ST, PUNTA GORDA",26.923566752557697,-82.03815454
27,98030210,Building/Trade Permits/Residential/Roofing,RE ROOF SHINGLE,"7019 NATALIE ST, ENGLEWOOD 34224",26.930105187842013,-82.27508544
27,98030192,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE,"1336 SHEEHAN BLVD, PORT CHARLOTTE",27.00861733324798,-82.08339693
27,98030242,Building/Trade Permits/Residential/Roofing,REROOF SHINGLE & FLAT MODIFIED 3/12 SLOPE,"531 LAKEHURST AVE NW, PORT CHARLOTTE",26.983154364207127,-82.11746217
27,98030244,Building/Trade Permits/Residential/Roofing,REROOF SHINGLE 4/12 SLOPE,"9220 SPRING CIR, PORT CHARLOTTE",26.89514349424364,-82.2019424
27,98030196,Building/Trade Permits/Residential/Roofing,TEAR OUT & REPLACE TILE VALLEY,"186 FORREST AVE NW, PORT CHARLOTTE",26.981292809927645,-82.10872656
27,98030248,Building/Trade Permits/Residential/Roofing,RE-ROOF FLAT ROOF  BUILT UP,"1540 HAYWORTH RD, PORT CHARLOTTE 33952",27.003847127103462,-82.08089441
27,98030198,Building/Construction/Residential/Miscellaneous,TEAR OUT CAGE & INSTALL MANSARD CAGE & COMP ROOF,"267 FIELDS TERR SE, PORT CHARLOTTE 33952",26.960117477196963,-82.09294889
27,98030179,Building/Trade Permits/Residential/Roofing,ONE-PLY REROOF .5/12 SLOPE,"3213 WISTERIA PL, PUNTA GORDA",26.909473381892816,-82.04951473
27,98030184,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE & FLAT ROOF 4/12  SLOPE,"2495 NUREMBERG BLVD, PUNTA GORDA 33983",26.991561906113773,-82.01914972
27,98030172,Building/Trade Permits/Residential/Roofing,TEAR OFF OLD SHINGLE INSTALL NEW SHINGLES,"11466 ROYAL ROAD, PUNTA GORDA",26.864788002160985,-81.99404908
27,98030181,Building/Trade Permits/Residential/Roofing,SHINGLE REROOF 4/12 SLOPE,"3124 SEAFARER DR, HARBOR HEIGHTS",26.98068978378377,-82.00434224
27,98030177,Building/Trade Permits/Residential/Roofing,SHINGLE REROOF 2.5/12 SLOPE   SHINGLE,"3643 STOCKTON RD, PORT CHARLOTTE",26.97367474191718,-82.2115021
27,98030166,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"1601 PLACIDA RD, ENGLEWOOD",26.934374783162546,-82.33695575
27,98030182,Building/Trade Permits/Residential/Roofing,SHINGLE REROOF 5/12 SLOPE,"26184 MADRAS CT, PUNTA GORDA",26.988679913348633,-82.01942441
27,98030165,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"20036 CHALKLEAF, PORT CHARLOTTE",27.014175281120316,-82.12181849
27,98030180,Building/Trade Permits/Residential/Roofing,SHINGLE & FLAT ROOF REPLACEMENT  4/12 SLOPE,"26201 MADRAS CT, PUNTA GORDA",26.98818977594147,-82.01893618
27,98030175,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"2371 LAKESHORE CIRCLE, PORT CHARLOTTE",26.995153359001872,-82.11175537
27,98030170,Building/Trade Permits/Residential/Roofing,TEAR OFF OLD ROOF INSTALL NEW SINGLE PLY MB,"4535 TAMIAMI TRL, PORT CHARLOTTE",26.962843610005727,-82.07270343
27,98030148,Building/Trade Permits/Residential/Roofing,SHINGLE RE-ROOF  SLOPE:4/12,"517 BOLENDER ST, PUNTA GORDA",27.02093708163979,-81.96950524
27,98030151,Building/Accessories/Residential/Shed,ERECT 10X6 METAL SHED,"8885 ST. PAUL DRIVE, PORT CHARLOTTE 33981",26.908989079600136,-82.19284819
27,98030173,Building/Trade Permits/Residential/Roofing,"SHINGLE RE-ROOF  SLOPE:2/12   ----- ""LOVELY""","35711 WASHINGTON LOOP RD, PUNTA GORDA",26.972623747777078,-81.8953654
27,98030171,Building/Trade Permits/Residential/Roofing,REPAIR TILE VALLEY *LESS THAN 1 SQ),"495 KENSINGTON, PORT CHARLOTTE",27.018756764167417,-82.1024323
27,98030176,Building/Trade Permits/Residential/Roofing,RE-ROOF SHINGLE INCLUDES GARAGE,"12219 CHANCELLOR BLVD, PORT CHARLOTTE 33953",27.032758671300755,-82.24840548
27,98030130,Building/Trade Permits/Residential/Roofing,REPAIR SHINGLE ROOF LESS THAN A SQUARE,"26146 RAMPART BLVD, PUNTA GORDA 33983",27.002582494913145,-82.02013399
27,98030078,Building/Trade Permits/Residential/Roofing,RE-ROOF FLAT ROOF,"1605 HINTON ST, PORT CHARLOTTE 33952",27.000680832002757,-82.10971829
27,98030132,Building/Trade Permits/Residential/Roofing,REROOF SHINGLES 4/12,"26129 MADRAS CT, PUNTA GORDA",26.988160959194335,-82.0212708
27,98030079,Building/Trade Permits/Residential/Roofing,RE-ROOF FLAT ROOF,"1226 SETLIFF CT NW, PORT CHARLOTTE",27.005468269898593,-82.13826754
27,98030138,Building/Trade Permits/Residential/Roofing,REROOF TAR & GRAVEL WITH URETHANE SYS,"3069 EASY ST, PORT CHARLOTTE 33952",26.986163981635098,-82.09435268
27,98030081,Building/Trade Permits/Residential/Roofing,INSTALL TIMERLINE SHINGLES  4/12,"2324 HAYWORTH RD, PORT CHARLOTTE",26.995664469115596,-82.08072656
27,98030134,Building/Trade Permits/Residential/Roofing,SHINGLE RE-DRIVE  SLOPE 4/12,"20200 TAPPENZEE DR, PORT CHARLOTTE 33952",27.01482974583976,-82.12069704
27,98030136,Building/Trade Permits/Residential/Roofing,NEW SHINGLE ROOF  SLOPE 4/12,"1269 DORCHESTER ST, PORT CHARLOTTE 33952",27.00992012169626,-82.10825341
27,98030137,Building/Trade Permits/Residential/Roofing,SHINGLE RE-DRIVE  SLOPE 4/12,"23242 MCCANDLESS AVE, PORT CHARLOTTE 33980",26.99456028,-82.06665045
27,98030082,Building/Trade Permits/Residential/Roofing,COMPLETE NEW RE-ROOF SHIONGLE,"312 CORRIENTES CIR, PORT CHARLOTTE",27.023595944555858,-82.02129369
27,98030131,Building/Trade Permits/Residential/Roofing,SHINGLE ROOF NEW 4/12 SLOPE,"27502 TIERRA DEL FUEGO CIR, PUNTA GORDA FL 33983",27.028112470562565,-82.00471501
27,98030032,Building/Trade Permits/Residential/Roofing,RE0ROOF SHINGLE 4/12 SLOPE,"1073 WATERSIDE ST, PORT CHARLOTTE 33952",27.015560069560333,-82.09558111
27,98030023,Building/Trade Permits/Residential/Roofing,COMPLETE RE-ROOF SHINGLE  3/12,"3393 SUNRISE TR, PORT CHARLOTTE",26.978513721582782,-82.10434717
27,98030033,Building/Accessories/Residential/Lanai,ALUMINUM ROOF OVER MOBILE ONLY,"15550 BURNTSTORE RD, PUNTA GORDA",26.800111665551228,-82.03461822
27,98030006,Building/Construction/Residential/Miscellaneous,REROOF SHINGLE,"22215 BREEZESWEPT, PORT CHARLOTTE",27.002525388396556,-82.08390048
27,98030035,Building/Trade Permits/Residential/Roofing,TEAR OFF & RE-SHINGLE  4/12,"737 EDGEMERE ST, PORT CHARLOTTE",26.989376065509497,-82.12936402
27,98030007,Building/Construction/Residential/Miscellaneous,REROOF SHINGLE & MODIFIED 4/12 SLOPE,"401 SKYLARK LN, PORT CHARLOTTE FL 33952",26.982519179417167,-82.1122894
